theta_r,q_t,q_g,q_total,green_share,purchase_price,profit_t,profit_g,profit_r,utility_r,risk_sd
0.0,0.7261904761904763,0.9196428571428572,1.6458333333333335,0.5587703435804702,2.178571428571429,0.7910289115646261,1.5764859693877553,4.643601190476191,4.643601190476191,0.6765548041816156
0.05,0.7308029473783971,0.9231022105337978,1.6539051579121948,0.5581349124632242,2.1924088421351913,0.8011094218454282,1.589235382184768,4.643489497301278,4.620827113985832,0.6732367089731053
0.1,0.7353703965671712,0.9265277974253784,1.6618981939925495,0.5575117662288838,2.2061111897015135,0.811154430221038,1.601907518803846,4.643158768051047,4.598275333616258,0.6699510014530076
0.15000000000000002,0.7398934797400343,0.9299201098050257,1.6698135895450599,0.5569005520301114,2.219680439220103,0.8211635420427248,1.6145028212395822,4.642615385868225,4.575942610450247,0.6666972097235602
0.2,0.7443728401980015,0.9332796301485011,1.6776524703465028,0.5563009304041029,2.2331185205940045,0.8311363878366591,1.6270217361002461,4.641865549081454,4.553825768189035,0.6634748710102703
0.25,0.7488091088648773,0.936606831648658,1.6854159405135354,0.5557125746439066,2.246427326594632,0.8410726222785176,1.6394647141818752,4.640915277119879,4.5319216916463345,0.6602835314424972
0.30000000000000004,0.7532029045835068,0.9399021784376301,1.693105083021137,0.5551351702048468,2.2596087137505205,0.850971923209547,1.6518322100636054,4.639770416215825,4.5102273252856016,0.6571227458403371
0.35000000000000003,0.7575548344035536,0.9431661258026652,1.700720960206219,0.5545684141437892,2.272664503210661,0.8608339906922933,1.6641246817232178,4.63843664490407,4.488739671799121,0.6539920775076034
0.4,0.7618654938610958,0.9463991203958219,1.7082646142569176,0.554012014589144,2.2855964815832874,0.8706585461043173,1.6763425901719706,4.636919479325745,4.467455790727506,0.6508910980306913
0.45,0.7661354672503021,0.9496016004377266,1.7157370676880288,0.5534656902396609,2.2984064017509063,0.8804453312682581,1.6884863991077834,4.6352242783446505,4.4463727971183005,0.647819387083142
0.5,0.7703653278874518,0.9527739959155889,1.7231393238030406,0.5529291698902076,2.3110959836623555,0.8901941076167117,1.700556574585917,4.633356248483329,4.425487860222374,0.6447765322357127
0.55,0.7745556383675498,0.9559167287756624,1.730472367143212,0.5524021919828505,2.3236669151026494,0.899904655390444,1.7125535847063265,4.631320448686013,4.40479820222689,0.6417621287717745
0.6000000000000001,0.7787069508137758,0.9590302131103319,1.7377371639241077,0.5518845041816782,2.3361208524413275,0.9095767728685324,1.7244778993168972,4.629121794915177,4.3843010970236485,0.6387757795078648
0.65,0.7828198071200018,0.9621148553400013,1.744934662460003,0.5513758629699149,2.348459421360005,0.919210275629095,1.7363299897318232,4.626765064588181,4.363993869011658,0.6358170946192268
0.7000000000000001,0.7868947391866007,0.9651710543899505,1.7520657935765511,0.5508760332679712,2.360684217559802,0.9288049958393225,1.7481103284644177,4.624254900860201,4.343873891932825,0.6328856914701737
0.75,0.7909322691497618,0.9681992018623213,1.7591314710120831,0.550384788071176,2.3727968074492853,0.9383607815735868,1.7598193889736722,4.621595816759379,4.323938587739718,0.6299811944491266
0.8,0.7949329096045198,0.9711996822033898,1.7661325918079096,0.5499019081060142,2.3847987288135593,0.9478774961584613,1.771457645423931,4.618792199179849,4.30418542549435,0.6271032348081714
0.8500000000000001,0.7988971638217008,0.9741728728662756,1.7730700366879764,0.5494271815037783,2.3966914914651025,0.9573550175435361,1.7830255724570656,4.615848312738092,4.284611920297019,0.624251450506994
0.9,0.8028255259589732,0.9771191444692299,1.7799446704282031,0.5489604034906115,2.4084765778769195,0.9667932376969527,1.7945236449765591,4.612768303497836,4.265215632244238,0.6214254860610562
0.9500000000000001,0.806718481266192,0.980038860949644,1.7867573422158358,0.5485013760929925,2.420155443798576,0.9761920620246469,1.8059523379429514,4.609556202568449,4.245994165414842,0.618624992393875
1.0,0.8105765062852188,0.9829323797139141,1.7935088859991328,0.5480499078577686,2.4317295188556565,0.985551408812327,1.8173121261801164,4.606215929581649,4.226945166883398,0.6158496266932784
1.05,0.8144000690443827,0.985800051783287,1.8002001208276697,0.5476058135859085,2.443200207133148,0.9948712086892428,1.8286034841918628,4.602751296051068,4.2080663257600275,0.613099052271514
1.1,0.8181896292477551,0.9886422219358163,1.8068318511835715,0.5471689140791949,2.454568887743265,1.0041514041128683,1.8398268859883755,4.599166008619093,4.189355372255875,0.6103729384290902
1.1500000000000001,0.8219456384593999,0.99145922884455,1.8134048673039498,0.5467390358991293,2.4658369153782,1.0133919488736458,1.8509828049220594,4.595463672195164,4.17081007677338,0.6076709603222313
1.2000000000000002,0.8256685402827456,0.9942514052120592,1.8199199454948047,0.5463160111373687,2.477005620848237,1.0225928076189599,1.862071713532309,4.591647792989575,4.152428249020609,0.6049927988338414
1.25,0.829358770535241,0.9970190779014307,1.8263778484366717,0.5458996771970549,2.488076311605723,1.0317539553955895,1.8730940833988385,4.587721781446648,4.134207737148913,0.6023381404478615
1.3,0.833016757418429,0.9997625680638217,1.8327793254822506,0.5454898765844376,2.4990502722552868,1.0408753772098702,1.8840503850031354,4.583688955080974,4.116146426913174,0.5997066771269229
1.35,0.8366429216835826,1.002482191262687,1.8391251129462693,0.5450864567102318,2.5099287650507476,1.049957067604862,1.8949410875976769,4.5795525412203,4.0982422408539785,0.5970981061931928
1.4000000000000001,0.8402376767930372,1.0051782575947779,1.8454159343878151,0.5446892697001819,2.5207130303791114,1.0589990302538406,1.9057666590825475,4.575315679658467,4.080493137501047,0.5945121302123161
1.4500000000000002,0.8438014290773493,1.007851071808012,1.8516525008853613,0.5442981722143391,2.531404287232048,1.0680012775694658,1.9165275658891172,4.570981425221659,4.0628971105972544,0.5919484568803587
1.5,0.8473345778884048,1.0105009334163038,1.8578355113047085,0.5439130252745873,2.5420037336652146,1.0769638303279818,1.9272242728704425,4.566552750251151,4.045452188342668,0.5894067989136665
1.55,0.8508375157486007,1.0131281368114506,1.8639656525600512,0.5435336940999833,2.552512547245802,1.0858867173078754,1.9378572431980832,4.562032547005516,4.02815643265795,0.5868868739415466
1.6,0.8543106284962159,1.015732971372162,1.8700435998683778,0.543160047949499,2.5629318854886476,1.0947699749423994,1.948426938265042,4.55742362998525,4.0110079384666015,0.5843884044016918
1.6500000000000001,0.857754295427085,1.0183157215703138,1.876070016997399,0.5427919599717826,2.573262886281255,1.103613646985423,1.9589338175945379,4.5527287381825445,3.9940048329954334,0.581911117438264
1.7000000000000002,0.8611688894326849,1.0208766670745137,1.8820455565071987,0.5424293070615738,2.5835066682980545,1.1124177841900857,1.9693783387543355,4.547950537258923,3.977145275092786,0.5794547448025584
1.75,0.8645547771347345,1.023416082851051,1.8879708599857854,0.5420719697224333,2.5936643314042036,1.1211824439997358,1.9797609572763788,4.543091621653276,3.9604274545639155,0.5770190227561754
1.8,0.8679123190164199,1.0259342392623148,1.8938465582787347,0.5417198319354649,2.6037369570492594,1.1299076902506895,1.9900821265814894,4.538154516622788,3.943849591523093,0.5746036919766211
1.85,0.8712418695503333,1.02843140216275,1.8996732717130835,0.5413727810337265,2.613725608651,1.13859359288634,2.0003422979088805,4.533141680219102,3.927409935761897,0.5722084974652704
1.9000000000000001,0.8745437773232264,1.03090783299242,1.9054516103156462,0.5410307075820444,2.6236313319696793,1.1472402276821656,2.0105419202502546,4.528055505202022,3.911106766133237,0.5698331884576235
1.9500000000000002,0.8778183851576697,1.0333637888682523,1.911182174025922,0.5406935052619617,2.6334551554730092,1.1558476759812288,2.0206814402882998,4.522898320892932,3.8949383899506724,0.567477518335787
2.0,0.881066030230708,1.035799522673031,1.9168655529037388,0.5403610707615688,2.643198090692124,1.1644160244397481,2.030761302339358,4.517672394970029,3.8789031424025455,0.5651412445431158
2.0500000000000003,0.8842870441895934,1.0382152831421951,1.9225023273317885,0.5400333036699717,2.65286113256878,1.1729453647823518,2.040781948300057,4.512379935207418,3.8629993859805496,0.5628241285009579
2.1,0.887481753264686,1.0406113149485146,1.9280930682132005,0.5397101063761763,2.662445259794058,1.181435793566642,2.050743817597753,4.507023091159985,3.847225509922278,0.5605259355274365
2.15,0.8906504783795998,1.0429878587847,1.9336383371642998,0.5393913839721715,2.671951435138799,1.1898874119567149,2.0606473471445863,4.501603955795947,3.8315799296673942,0.5582464347582141
2.2,0.893793535258668,1.045345151444001,1.9391386867026692,0.5390770441600112,2.681380605776004,1.198300325505282,2.0704929712949633,4.4961245670788585,3.816061086326995,0.5559853990691841
2.25,0.8969112345318132,1.0476834258988599,1.9445946604306732,0.5387669971627029,2.6907337035954395,1.2066746439440719,2.080281121806344,4.490586909500824,3.8006674461658387,0.5537426050010302
2.3000000000000003,0.9000038818368855,1.050002911377664,1.9500067932145497,0.5384611556387217,2.7000116455106564,1.2150104809821936,2.0900122278031414,4.484992915568574,3.785397500097046,0.5515178326856072
2.35,0.903071777919542,1.0523038334396566,1.9553756113591985,0.5381594345999801,2.709215333758626,1.223307954112144,2.0996867157435934,4.479344467244004,3.7702497631889265,0.5493108657740894
2.4000000000000004,0.9061152187307454,1.054586414048059,1.9607016327788043,0.5378617513330911,2.7183456561922363,1.2315671844232,2.1093050093894883,4.473643397340734,3.7552227741836104,0.5471214913668335
2.45,0.9091344955219302,1.0568508716414478,1.9659853671633778,0.5375680253237719,2.7274034865657906,1.2397882964218714,2.1188675297785755,4.467891490878166,3.7403150950271367,0.5449494999449179
2.5,0.9121298949379181,1.0590974212034385,1.9712273161413565,0.5372781781842408,2.736389684813754,1.247971417859186,2.1283746951995477,4.462090486394474,3.7255253104106973,0.5427946853033019
2.5500000000000003,0.9151016991076354,1.0613262743307266,1.976427973438362,0.5369921335834734,2.7453050973229063,1.256116679564522,2.1378269211694816,4.456242077219893,3.710852027322716,0.5406568444855655
2.6,0.9180501857326967,1.0635376392995224,1.9815878250322192,0.5367098171801848,2.75415055719809,1.2642242152857583,2.147224620413602,4.450347912711658,3.6962938746114773,0.5385357777201852
2.6500000000000004,0.9209756281739064,1.0657317211304298,1.9867073493043361,0.5364311565584159,2.762926884521719,1.2722941615354824,2.1565682028472564,4.444409599451848,3.6818495025580034,0.5364312883583067
2.7,0.923878295535748,1.0679087216518108,1.991787017187559,0.5361560811656049,2.7716348866072438,1.2803266574430583,2.16585807556001,4.438428702409374,3.6675175824589115,0.5343431828129651
2.75,0.9267584527488996,1.0700688395616746,1.996827292310574,0.5358845222530356,2.7802753582466986,1.2883218446123015,2.1750946428017377,4.432406746067304,3.6532968062189752,0.5322712704997258
2.8000000000000003,0.9296163606508433,1.0722122704881325,2.001828631138976,0.535616412818553,2.78884908195253,1.296279866984578,2.1842783059706328,4.4263452155166565,3.639185885953127,0.5302153637786957
2.85,0.9324522760646109,1.074339207048458,2.006791483113069,0.5353516875514498,2.797356828193833,1.30420087070711,2.193409463603019,4.420245557517773,3.62518355359765,0.5281752778978765
2.9000000000000004,0.9352664518757173,1.076449838906788,2.0117162907825055,0.5350902827794256,2.805799355627152,1.3120850040062906,2.2024885113648995,4.414109181530329,3.611288560530312,0.5261508309378192
2.95,0.9380591371073358,1.0785443528305019,2.016603489937838,0.5348321364175306,2.8141774113220075,1.3199324170658389,2.2115158420451326,4.407937460712999,3.5974996771991963,0.5241418437575464
3.0,0.9408305769937523,1.0806229327453143,2.0214535097390667,0.5345771879190055,2.8224917309812567,1.3277432619095952,2.2204918455501685,4.401731732893778,3.583815692760015,0.52214813994171
3.0500000000000003,0.9435810130521539,1.0826857597891153,2.0262667728412693,0.5343253782279384,2.8307430391564616,1.3355176922887932,2.2294169089002676,4.395493301511896,3.570235414721658,0.5201695457489494
3.1,0.9463106831527884,1.0847330123645913,2.0310436955173796,0.5340766497336586,2.838932049458365,1.3432558635736453,2.2382914162271215,4.3892234365322516,3.5567576685997735,0.5182058900614193
3.1500000000000004,0.9490198215875439,1.086764866190658,2.035784687778202,0.533830946226795,2.8470594647626317,1.3509579326490806,2.2471157487727975,4.382923375333241,3.5433812975781693,0.5162570043354564
3.2,0.9517086591369823,1.0887814943527367,2.040490153489719,0.5335882128569275,2.855125977410947,1.3586240578144695,2.255890284889957,4.376594323568847,3.530105162177816,0.5143227225533569
3.25,0.9543774231358758,1.0907830673519068,2.0451604904877825,0.5333483960917653,2.8631322694076276,1.3662543986872118,2.264615400043269,4.370237456005811,3.516928139933279,0.5124028811762306
3.3000000000000003,0.9570263375372786,1.092769753152959,2.0497960906902377,0.5331114436777882,2.871079012611836,1.3738491161100257,2.2732914668119575,4.36385391733666,3.5038491250763544,0.5104973190979099
3.35,0.9596556229751741,1.0947417172313805,2.0543973402065547,0.5328773046022889,2.8789668689255223,1.3814083720618044,2.2819188548934237,4.357444822969388,3.490867028226745,0.508605877599883
3.4000000000000004,0.9622654968257365,1.0966991226193024,2.058964619445039,0.5326459290567607,2.8867964904772094,1.3889323295719223,2.290497931107895,4.351011259794513,3.477980776089592,0.5067284003072234
3.45,0.9648561732672388,1.098642129950429,2.063498303217668,0.5324172684015718,2.8945685198017164,1.3964211526378496,2.29902905940403,4.344554286930221,3.4651893111596754,0.5048647331454944
