theta_t,q_t,q_g,q_total,green_share,purchase_price,profit_t,profit_g,profit_r,utility_t,risk_sd
0.0,0.7241379310344828,0.8793103448275862,1.603448275862069,0.5483870967741935,2.896551724137931,1.3109393579072535,2.1470600475624257,3.430270511296076,1.3109393579072535,0.1736421758440812
0.2,0.7207083533530099,0.8798819411078317,1.6005902944608414,0.5497234015180754,2.8994097055391586,1.3104979986856518,2.150076690863057,3.4196844379526636,1.3045246625838345,0.17281979200625833
0.4,0.7173111080748735,0.8804481486541877,1.5977592567290613,0.5510518214468959,2.902240743270939,1.3100066848043173,2.1530668274057594,3.409214270827933,1.2981723746116625,0.17200516120639275
0.6000000000000001,0.7139457401237506,0.8810090433127082,1.5949547834364588,0.5523724261414503,2.905045216563541,1.3094668774711435,2.1560308031963205,3.3988581529250705,1.2918815885366342,0.17119817432101567
0.8,0.71061180292366,0.8815646995127233,1.5921765024363834,0.5536852843662331,2.9078234975636166,1.3088799965058426,2.158968958280874,3.3886142661287466,1.2856514163209396,0.17039872426496872
1.0,0.7073088582014145,0.8821151902997643,1.5894240485011788,0.5549904640813732,2.910575951498821,1.3082474216278437,2.161881626872768,3.3784808302044667,1.279480986926658,0.1696067059440335
1.2000000000000002,0.7040364757945554,0.8826605873675741,1.5866970631621296,0.5562880324543611,2.9133029368378702,1.3075704936994357,2.1647691374762132,3.368456101828392,1.2733694459112397,0.16882201620887605
1.4000000000000001,0.7007942334645932,0.8832009610892344,1.5839951945538275,0.5575780558715713,2.9160048054461725,1.3068505159258808,2.1676318130068424,3.3585383736465317,1.267315955034474,0.16804455381026348
1.6,0.6975817167153867,0.8837363805474355,1.5813180972628222,0.558860599949584,2.9186819027371778,1.3060887550141524,2.1704699709092448,3.3487259733623236,1.2613196918765586,0.16727421935551273
1.8,0.6943985186164937,0.8842669135639177,1.5786654321804114,0.5601357295463114,2.9213345678195886,1.3052864422919057,2.1732839232715717,3.339017262851571,1.2553798494669288,0.16651091526613174
2.0,0.6912442396313363,0.8847926267281107,1.576036866359447,0.5614035087719298,2.923963133640553,1.3044447747881667,2.176073976937289,3.3294106373038295,1.2494956359234637,0.1657545457366147
2.2,0.6881184874500295,0.885313585424995,1.5734320728750246,0.5626640009996251,2.9265679271249754,1.3035649162772314,2.1788404336141802,3.319904524389309,1.243666274101761,0.16500501669435594
2.4000000000000004,0.6850208768267224,0.8858298538622129,1.5708507306889352,0.5639172688761525,2.929149269311065,1.3026479982871417,2.1815835899806486,3.3104973834504294,1.2378910012541353,0.16426223576064575
2.6,0.6819510294213158,0.8863414950964473,1.568292524517763,0.5651633743322152,2.931707475482237,1.30169512107409,2.184303737789417,3.30118770471718,1.2321690686980356,0.1635261122127153
