scenario,risk_bearing_actor,risk_aversion,expected_profit,profit_standard_deviation
S,Retailer,0.0,4.643601190476191,0.6765548041816156
S,Retailer,0.05,4.643489497301278,0.6732367089731053
S,Retailer,0.1,4.643158768051047,0.6699510014530076
S,Retailer,0.15000000000000002,4.642615385868225,0.6666972097235602
S,Retailer,0.2,4.641865549081454,0.6634748710102703
S,Retailer,0.25,4.640915277119879,0.6602835314424972
S,Retailer,0.30000000000000004,4.639770416215825,0.6571227458403371
S,Retailer,0.35000000000000003,4.63843664490407,0.6539920775076034
S,Retailer,0.4,4.636919479325745,0.6508910980306913
S,Retailer,0.45,4.6352242783446505,0.647819387083142
S,Retailer,0.5,4.633356248483329,0.6447765322357127
S,Retailer,0.55,4.631320448686013,0.6417621287717745
S,Retailer,0.6000000000000001,4.629121794915177,0.6387757795078648
S,Retailer,0.65,4.626765064588181,0.6358170946192268
S,Retailer,0.7000000000000001,4.624254900860201,0.6328856914701737
S,Retailer,0.75,4.621595816759379,0.6299811944491266
S,Retailer,0.8,4.618792199179849,0.6271032348081714
S,Retailer,0.8500000000000001,4.615848312738092,0.624251450506994
S,Retailer,0.9,4.612768303497836,0.6214254860610562
S,Retailer,0.9500000000000001,4.609556202568449,0.618624992393875
S,Retailer,1.0,4.606215929581649,0.6158496266932784
S,Retailer,1.05,4.602751296051068,0.613099052271514
S,Retailer,1.1,4.599166008619093,0.6103729384290902
S,Retailer,1.1500000000000001,4.595463672195164,0.6076709603222313
S,Retailer,1.2000000000000002,4.591647792989575,0.6049927988338414
S,Retailer,1.25,4.587721781446648,0.6023381404478615
S,Retailer,1.3,4.583688955080974,0.5997066771269229
S,Retailer,1.35,4.5795525412203,0.5970981061931928
S,Retailer,1.4000000000000001,4.575315679658467,0.5945121302123161
S,Retailer,1.4500000000000002,4.570981425221659,0.5919484568803587
S,Retailer,1.5,4.566552750251151,0.5894067989136665
S,Retailer,1.55,4.562032547005516,0.5868868739415466
S,Retailer,1.6,4.55742362998525,0.5843884044016918
S,Retailer,1.6500000000000001,4.5527287381825445,0.581911117438264
S,Retailer,1.7000000000000002,4.547950537258923,0.5794547448025584
S,Retailer,1.75,4.543091621653276,0.5770190227561754
S,Retailer,1.8,4.538154516622788,0.5746036919766211
S,Retailer,1.85,4.533141680219102,0.5722084974652704
S,Retailer,1.9000000000000001,4.528055505202022,0.5698331884576235
S,Retailer,1.9500000000000002,4.522898320892932,0.567477518335787
S,Retailer,2.0,4.517672394970029,0.5651412445431158
S,Retailer,2.0500000000000003,4.512379935207418,0.5628241285009579
S,Retailer,2.1,4.507023091159985,0.5605259355274365
S,Retailer,2.15,4.501603955795947,0.5582464347582141
S,Retailer,2.2,4.4961245670788585,0.5559853990691841
S,Retailer,2.25,4.490586909500824,0.5537426050010302
S,Retailer,2.3000000000000003,4.484992915568574,0.5515178326856072
S,Retailer,2.35,4.479344467244004,0.5493108657740894
S,Retailer,2.4000000000000004,4.473643397340734,0.5471214913668335
S,Retailer,2.45,4.467891490878166,0.5449494999449179
S,Retailer,2.5,4.462090486394474,0.5427946853033019
S,Retailer,2.5500000000000003,4.456242077219893,0.5406568444855655
S,Retailer,2.6,4.450347912711658,0.5385357777201852
S,Retailer,2.6500000000000004,4.444409599451848,0.5364312883583067
S,Retailer,2.7,4.438428702409374,0.5343431828129651
S,Retailer,2.75,4.432406746067304,0.5322712704997258
S,Retailer,2.8000000000000003,4.4263452155166565,0.5302153637786957
S,Retailer,2.85,4.420245557517773,0.5281752778978765
S,Retailer,2.9000000000000004,4.414109181530329,0.5261508309378192
S,Retailer,2.95,4.407937460712999,0.5241418437575464
S,Retailer,3.0,4.401731732893778,0.52214813994171
S,Retailer,3.0500000000000003,4.395493301511896,0.5201695457489494
S,Retailer,3.1,4.3892234365322516,0.5182058900614193
S,Retailer,3.1500000000000004,4.382923375333241,0.5162570043354564
S,Retailer,3.2,4.376594323568847,0.5143227225533569
S,Retailer,3.25,4.370237456005811,0.5124028811762306
S,Retailer,3.3000000000000003,4.36385391733666,0.5104973190979099
S,Retailer,3.35,4.357444822969388,0.508605877599883
S,Retailer,3.4000000000000004,4.351011259794513,0.5067284003072234
S,Retailer,3.45,4.344554286930221,0.5048647331454944
S,Retailer,3.5,4.338074936446297,0.5030147242985991
S,Retailer,3.5500000000000003,4.331574214067499,0.501178224167555
S,Retailer,3.6,4.325053099857022,0.4993550853301676
S,Retailer,3.6500000000000004,4.318512548880686,0.4975451625015822
S,Retailer,3.7,4.311953491852402,0.4957483124956882
S,Retailer,3.75,4.305376835761561,0.49396439418735955
S,Retailer,3.8000000000000003,4.298783464482844,0.49219326847550515
S,Retailer,3.85,4.292174239369035,0.4904347982469126
S,Retailer,3.9000000000000004,4.285549999827327,0.48868884834086374
S,Retailer,3.95,4.278911563879665,0.48695528551450423
S,Retailer,4.0,4.27225972870756,0.48523397840894567
S,Retailer,4.05,4.2655952711819,0.48352479751608646
S,Retailer,4.1000000000000005,4.258918948378172,0.48182761514613
S,Retailer,4.15,4.252231498077549,0.48014230539578334
S,Retailer,4.2,4.245533639254293,0.47846874411712564
S,Retailer,4.25,4.238826072549826,0.4768068088871191
S,Retailer,4.3,4.232109480733932,0.4751563789777576
S,Retailer,4.3500000000000005,4.225384529153436,0.47351733532683205
S,Retailer,4.4,4.2186518661687336,0.47188956050929765
S,Retailer,4.45,4.211912123578554,0.470272938709231
S,Retailer,4.5,4.205165917033281,0.46866735569236123
S,Retailer,4.55,4.198413846437184,0.4670726987791617
S,Retailer,4.6000000000000005,4.191656496339873,0.4654888568184892
S,Retailer,4.65,4.184894436317311,0.4639157201617585
S,Retailer,4.7,4.17812822134266,0.46235318063763653
S,Retailer,4.75,4.171358392147305,0.46080113152724994
S,Retailer,4.800000000000001,4.164585475572282,0.45925946753988645
S,Retailer,4.8500000000000005,4.157809984910433,0.4577280847891857
S,Retailer,4.9,4.151032420239536,0.4562068807698016
S,Retailer,4.95,4.144253268746686,0.4546957543345313
S,Retailer,5.0,4.137473005044147,0.4531946056718958
S,Retailer,5.050000000000001,4.130692091476953,0.45170333628416326
S,Retailer,5.1000000000000005,4.12391097842249,0.4502218489658057
S,Retailer,5.15,4.117130104582252,0.4487500477823763
S,Retailer,5.2,4.110349897266043,0.4472878380498027
S,Retailer,5.25,4.103570772668802,0.4458351263140795
S,Retailer,5.300000000000001,4.096793136140282,0.44439182033136054
S,Retailer,5.3500000000000005,4.0900173824477655,0.4429578290484319
S,Retailer,5.4,4.083243896032032,0.4415330625835642
S,Retailer,5.45,4.07647305125675,0.4401174322077328
S,Retailer,5.5,4.069705212651487,0.43871085032619833
S,Retailer,5.550000000000001,4.0629407351485085,0.43731323046043774
S,Retailer,5.6000000000000005,4.05617996431355,0.43592448723042243
S,Retailer,5.65,4.049423236570717,0.4345445363372308
S,Retailer,5.7,4.042670879421679,0.4331732945459901
S,Retailer,5.75,4.035923211659318,0.43181067966914155
S,Retailer,5.800000000000001,4.029180543575982,0.43045661055001905
S,Retailer,5.8500000000000005,4.022443177166496,0.42911100704673694
S,Retailer,5.9,4.015711406326055,0.42777379001637694
S,Retailer,5.95,4.0089855170431825,0.4264448812994741
S,Retailer,6.0,4.002265787587819,0.42512420370478543
S,Retailer,6.050000000000001,3.995552488694755,0.4238116809943453
S,Retailer,6.1000000000000005,3.9888458837424614,0.4225072378687939
S,Retailer,6.15,3.982146228927493,0.42121079995297833
S,Retailer,6.2,3.9754537734345576,0.4199222937818151
S,Retailer,6.25,3.968768759602372,0.418641646786414
S,Retailer,6.300000000000001,3.962091423085429,0.41736878728045396
S,Retailer,6.3500000000000005,3.9554219930117616,0.41610364444680487
S,Retailer,6.4,3.948760692136848,0.41484614832439665
S,Retailer,6.45,3.9421077369937105,0.4135962297953199
S,Retailer,6.5,3.9354633380393635,0.4123538205721645
S,Retailer,6.550000000000001,3.928827699797665,0.41111885318558183
S,Retailer,6.6000000000000005,3.9222010209986826,0.4098912609720712
S,Retailer,6.65,3.915583494714671,0.4086709780619848
S,Retailer,6.7,3.9089753084927423,0.4074579393677459
S,Retailer,6.75,3.9023766444843235,0.40625208057227635
S,Retailer,6.800000000000001,3.8957876795714625,0.40505333811762817
S,Retailer,6.8500000000000005,3.8892085854901146,0.40386164919381834
S,Retailer,6.9,3.8826395289504148,0.4026769517278556
S,Retailer,6.95,3.8760806717540945,0.4014991843729653
S,Retailer,7.0,3.8695321709090487,0.4003282864979975
S,Retailer,7.050000000000001,3.8629941787411766,0.3991641981770247
S,Retailer,7.1000000000000005,3.856466843003531,0.39800686017911674
